head,relation,tail,noise
"2,300,000 more are receiving them",said in,07-10-1984,0
"even president nixon, because he was a strong leader at least, worked with a democratic congress very well",said in,23-09-1976,0
"i do point out that he's been wrong on many foreign policy and national security issues, which is supposed to be his strength",is a,claim,0
it would not cover several million people who are not covered by social security at all,support,i think that our program does a better job than his,0
i don't consider abortion a religious issue,said in,11-10-1984,0
this economy is growing,support,the way to make sure our economy grows is not to raise taxes on small-business owners,0
he’s never done that,said in,29-09-2020,0
we've got to have military strength to preserve the peace,support,the build-up of military forces is good for our country,0
"my plan has not only a short-term component, but also a long-term component",is a,premise,0
that was a mistake,is a,claim,0
for us to get more entangled militarily in syria is a serious step,said in,22-10-2012,0
"as soon as i became president, i initiated a meeting with the nato heads of state and met with them in brussels to discuss how we could improve the re- defense relationship in western europe",support,you can go around the world - and let me take israel for example,0
i would also make sure that their diplomats are treated like the pariah they are around the world,said in,22-10-2012,0
"his may seem like a rigid, inflexible position",is a,claim,0
who actually do not represent what the hispanic-americans want,said in,21-10-1984,0
"it's his trustees, the president's trustees, not mine, who says it's going to go broke",said in,06-10-1996,0
they said that they were going to fund their no child left behind; $27 billion short today,support,they've seen a lot of it during their administration,0
the treasury should demand that money back and those executives should be fired,is a,premise,0
"we know what other americans are going through as they sit around the kitchen table and try to figure out, how are they going to pay out-of-pocket for health care",said in,02-10-2008,0
the united states must not spread itself too thinly,attack,united states will take the leadership and try to resolve the differences,0
meeting with the leaders of nato,said in,05-10-2004,0
the first gulf war cost america $5 billion,said in,05-10-2004,0
there was a study just a few weeks ago suggesting that in summertime the north polar ice cap will be completely gone in 50 years,is a,claim,0
"we have trained over 315,000, mostly without incident",is a,claim,0
i think maybe we could look back over our shoulders and wonder whether it was right to let all those mental patients out,support,we've got to attend to them,0
"as i worked to pass a trade bill through the united states senate, they threw roadblocks in the way every step of the way",support,they have not had a trade policy,0
